code,energy_kcal_100g,energy_100g,fat_100g,saturated_fat_100g,carbohydrates_100g,sugars_100g,proteins_100g,salt_100g,sodium_100g,predict
8411882015266,335.0,1402.0,0.0,0.0,83.0,77.0,0.0,18.0,7.2,2
3302749749026,114.0,477.0,4.7,0.5,10.0,3.2,7.8,1.3,0.52,1
2295580010244,152.0,636.0,6.9,2.8,0.5,0.5,22.0,0.1,0.04,3
8412500593210,231.0,967.0,16.0,2.4,7.0,0.5,14.0,1.4,0.56,3
613008720209,108.33333333333,453.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,1
8853301550048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3124670070525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
3295216000204,156.0,790.0,9.6,4.1,6.5,5.3,11.0,1.2,0.48,3
8015109000105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
41695302710,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
5201073000309,824.0,3448.0,91.6,12.8,0.0,0.0,0.0,0.0,0.0,0
4046234865806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
0858867002824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,1
9369999065393,404.7164,1693.0,6.0,5.0,11.666666666667,6.0,70.666666666667,0.45833333333332,0.183333333333328,2
8426633128140,127.0,536.0,0.0,0.0,31.0,29.0,0.42,0.0,0.0,3
689076674058,150.0,628.0,0.0,0.0,40.0,33.333333333333,0.0,2.0,0.8,3
8010146001450,99.0,414.0,88.0,15.0,8.0,8.0,1.9,1.8,0.72,1
85239011638,400.0,1674.0,30.0,20.0,0.0,0.0,40.0,3.25,1.3,2
8003496094050,128.0,536.0,0.2,0.0,5.1,5.1,1.4,0.67,0.268,3
8056590490983,419.0,1753.0,12.5,2.9,68.9,3.3,7.6,2.27,0.908,2
768395494032,513.0,2146.0,28.21,17.95,64.1,58.97,5.13,0.16,0.064,2
4002453000473,13.0,55.0,0.1,0.1,2.2,0.0,0.3,0.005,0.002,1
4019736003557,213.0,891.0,16.0,1.6,10.0,8.8,5.6,1.775,0.71,3
0627987209853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
52100071183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
653888031422,224.0,937.0,15.0,9.17,18.33,17.5,4.17,0.1325,0.053,3
4311501682449,307.0,1284.0,13.2,8.1,39.0,2.5,6.8,1.2,0.48,3
4052485403674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
2603518001200,320.0,1339.0,13.7,1.8,39.0,2.7,8.4,3.1,1.24,2
8437014825671,428.0,1791.0,7.9,3.5,75.0,3.5,14.3,2.2,0.88,2
8423102210252,509.0,2130.0,28.8,2.8,49.2,2.1,10.7,0.0,0.0,2
3760091728814,572.0,2393.0,39.9,23.9,40.8,34.0,8.2,0.0,0.0,0
14321621219,286.0,1197.0,0.0,0.0,57.14,0.0,28.57,0.0,0.0,3
70074668338,500.0,2092.0,27.999999523163,0.0,52.5,0.0,10.0,0.3,0.12,2
851770006699,36.0,151.0,0.95,0.12,2.62,0.24,6.19,0.1725,0.069,1
3328640121662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
8032894520090,144.0,602.0,11.0,3.5,2.2,1.0,9.2,1.2,0.48,3
5941143026340,289.0,1214.0,9.2,1.2,36.7,1.0,11.8,1.3,0.52,3
55104001095,360.0,1506.0,1.0,0.0,80.0,0.0,6.0,0.0,0.0,2
5949084021493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
6134689000069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
7061318134408,595.0,2489.0,42.5,7.5,48.2,39.7,3.6,0.02,0.008,0
890493001017,270.0,1130.0,18.0,6.0,9.0,0.0,20.0,0.45,0.18,3
0272176008597,21.0,88.0,0.0,0.0,3.0,3.0,0.80000001192093,0.0,0.0,1
